order,sectionTitle,lessonTitle,slug,sectionIcon,filePath,description
01A,Learning goals,Learning goals,learning-goals/goals,info-circle,/lessons/learning-goals/goals,The learning goals for this course.
01B,Learning goals,Go,learning-goals/go,info-circle,/lessons/learning-goals/go,""
01C,Learning goals,Git,learning-goals/git,info-circle,/lessons/learning-goals/git,""
01D,Learning goals,Workflow Automation,learning-goals/workflow-automation,info-circle,/lessons/learning-goals/workflow-automation,""
02A,Object Oriented Programming,Quick overview of Object Oriented Programming,notes-on-object-oriented-programming/quick-overview,info-circle,/lessons/notes-on-object-oriented-programming/quick-overview,We look at inheritance vs composition
02B,Object Oriented Programming,Inheritance,notes-on-object-oriented-programming/inheritance,info-circle,/lessons/notes-on-object-oriented-programming/inheritance,We look at inheritance vs composition
02C,Object Oriented Programming,Object Oriented Programming in Go,notes-on-object-oriented-programming/what-about-oo-in-go,info-circle,/lessons/notes-on-object-oriented-programming/what-about-oo-in-go,We look at inheritance vs composition
02D,Object Oriented Programming,Composition,notes-on-object-oriented-programming/composition,info-circle,/lessons/notes-on-object-oriented-programming/composition,We look at inheritance vs composition
02E,Object Oriented Programming,Differences between inheritance in Python and composition in Go,notes-on-object-oriented-programming/summary,info-circle,/lessons/notes-on-object-oriented-programming/summary,We look at inheritance vs composition
03A,The Go Programming Language,Introduction,golang-introduction/intro,code,/lessons/golang-introduction/intro,The introduction to this course.
03B,The Go Programming Language,What is Go?,golang-introduction/what-is-go,code,/lessons/golang-introduction/what-is-go,""
03C,The Go Programming Language,Who are the creators?,golang-introduction/who-are-the-creators,code,/lessons/golang-introduction/who-are-the-creators,""
03D,The Go Programming Language,Why Go?,golang-introduction/why-go,code,/lessons/golang-introduction/why-go,""
03E,The Go Programming Language,Language characteristics,golang-introduction/language-characteristics,code,/lessons/golang-introduction/language-characteristics,""
03F,The Go Programming Language,Timeline,golang-introduction/timeline,code,/lessons/golang-introduction/timeline,""
03G,The Go Programming Language,Go.dev overview,golang-introduction/godev,code,/lessons/golang-introduction/godev,""
03H,The Go Programming Language,Who is using Go?,golang-introduction/companies-using-go,code,/lessons/golang-introduction/companies-using-go,""
03I,The Go Programming Language,Philosophy and tools,golang-introduction/philosophy-and-tools,code,/lessons/golang-introduction/philosophy-and-tools,""
03J,The Go Programming Language,Stuff to install,golang-introduction/stuff-to-install,code,/lessons/golang-introduction/stuff-to-install,""
03K,The Go Programming Language,Multi-platform and common use cases,golang-introduction/multi-platform-and-common-use-cases,code,/lessons/golang-introduction/multi-platform-and-common-use-cases,""
04A,Go fundamentals,The basics,golang-fundamentals/the-basics,code,/lessons/golang-fundamentals/the-basics,Fundamentals of the Go programming language.
04B,Go fundamentals,"Variables, Types, and Constants",golang-fundamentals/variables-types-const,code,/lessons/golang-fundamentals/variables-types-const,Fundamentals of the Go programming language.
04C,Go fundamentals,Data types,golang-fundamentals/data-types,code,/lessons/golang-fundamentals/data-types,Fundamentals of the Go programming language.
04D,Go fundamentals,Packages,golang-fundamentals/packages,code,/lessons/golang-fundamentals/packages,Fundamentals of the Go programming language.
04E,Go fundamentals,Visibility,golang-fundamentals/visibility,code,/lessons/golang-fundamentals/visibility,Fundamentals of the Go programming language.
04F,Go fundamentals,Numbers and collections,golang-fundamentals/numbers-and-collections,code,/lessons/golang-fundamentals/numbers-and-collections,Fundamentals of the Go programming language.
04G,Go fundamentals,Functions,golang-fundamentals/functions,code,/lessons/golang-fundamentals/functions,Fundamentals of the Go programming language.
